iter	Logloss
0	0.6020202962
1	0.5339296787
2	0.4817000995
3	0.4434251249
4	0.4138997272
5	0.3925339959
6	0.377751689
7	0.3655005438
8	0.3575425886
9	0.3484811486
10	0.3427835803
11	0.3383159094
12	0.3339692046
13	0.331104065
14	0.327991738
15	0.3261889428
16	0.3238546299
17	0.3218876745
18	0.320058638
19	0.3187991556
20	0.3172346672
21	0.3159364723
22	0.3140728549
23	0.3132255991
24	0.3109396192
25	0.3098438378
26	0.3091703775
27	0.3081899601
28	0.3073868307
29	0.3062390229
30	0.3048985557
31	0.3035509122
32	0.3026439993
33	0.3014337307
34	0.3006313477
35	0.3000913446
36	0.2994493434
37	0.2984468718
38	0.2978179591
39	0.2973816076
40	0.2970291577
41	0.2967083154
42	0.2957593813
43	0.2953078758
44	0.2949819968
45	0.294640574
46	0.2942296772
47	0.2938904535
48	0.2934072198
49	0.2931191193
50	0.2928852907
51	0.2925441956
52	0.292273174
53	0.291973672
54	0.2917796318
55	0.2914644825
56	0.2913449602
57	0.2912501081
58	0.2909025954
59	0.290717232
60	0.2906879825
61	0.2905251872
62	0.2902076631
63	0.2900304927
64	0.2894310257
65	0.2891953853
66	0.2889354478
67	0.2887337095
68	0.2884979636
69	0.2877305459
70	0.2874702645
71	0.2873949266
72	0.2866841
73	0.2866512498
74	0.2864253165
75	0.286292066
76	0.2861082597
77	0.2859131641
78	0.2857971766
79	0.2854469265
80	0.2852367329
81	0.2850706249
82	0.2850143435
83	0.2846525609
84	0.2843699657
85	0.2842701117
86	0.2839254657
87	0.2837739839
88	0.2836156728
89	0.2833230302
90	0.283208464
91	0.2829819061
92	0.2828335225
93	0.2826672013
94	0.2824058648
95	0.2823391725
96	0.2822878748
97	0.2820871496
98	0.2819408247
99	0.281809056
100	0.2817301396
101	0.2816752494
102	0.2814055114
103	0.2813155415
104	0.2812498071
105	0.281018882
106	0.2808663512
107	0.2806703093
108	0.2806235438
109	0.2802257159
110	0.279714216
111	0.2796456045
112	0.2795245467
113	0.2794098241
114	0.2792780577
115	0.2790911807
116	0.2790308195
117	0.2788859989
118	0.2786939152
119	0.2782239991
120	0.2779604446
121	0.2777642331
122	0.2775834473
123	0.2773821006
124	0.2772245498
125	0.2771479976
126	0.2769951583
127	0.2768122003
128	0.2765845819
129	0.2764362723
130	0.2762430578
131	0.2761505924
132	0.2761107558
133	0.2757054986
134	0.2756603322
135	0.2755923149
136	0.2755062425
137	0.2754133326
138	0.2753321922
139	0.275127014
140	0.2750052963
141	0.2749150205
142	0.2748208577
143	0.2746602311
144	0.2745164571
145	0.2745114871
146	0.2744915184
147	0.2743532436
148	0.2742325353
149	0.2741814464
150	0.2741181632
151	0.2740396697
152	0.2740229934
153	0.2738623189
154	0.2737518523
155	0.2736766613
156	0.2736204398
157	0.2734438355
158	0.2733397303
159	0.2732446937
160	0.2731463323
161	0.273066307
162	0.2729694865
163	0.2729614056
164	0.2721935577
165	0.2721021322
166	0.2720018842
167	0.2718762017
168	0.2718251726
169	0.271807077
170	0.2716648886
171	0.271565893
172	0.2714132699
173	0.2712993271
174	0.2712629104
175	0.270959064
176	0.2709241715
177	0.2709172626
178	0.2708456849
179	0.2707519422
180	0.2706981763
181	0.2706656654
182	0.2706231729
183	0.2705396648
184	0.2704668257
185	0.270380541
186	0.2702914978
187	0.2702442256
188	0.2700458578
189	0.2699443038
190	0.2699395425
191	0.2698699096
192	0.2698163208
193	0.2696819985
194	0.269676496
195	0.2695066971
196	0.2694780996
197	0.269376471
198	0.2693228138
199	0.2691497465
200	0.2691135418
201	0.2689920254
202	0.2688436856
203	0.2687526398
204	0.2687063902
205	0.2682371713
206	0.2681386195
207	0.2680592066
208	0.2679556618
209	0.2679208222
210	0.2678407663
211	0.2676664285
212	0.2675600109
213	0.2675046434
214	0.2674562678
215	0.2674042584
216	0.2674000153
217	0.2673578744
218	0.2672761852
219	0.2671712234
220	0.2670942211
221	0.2670582445
222	0.2669825655
223	0.2669297059
224	0.2668047729
225	0.2666887523
226	0.2664278717
227	0.266312839
228	0.2662235175
229	0.2662211095
230	0.2661639812
231	0.2660608496
232	0.2659241737
233	0.2658676115
234	0.2658018067
235	0.2657363444
236	0.265682976
237	0.2655875415
238	0.2654017044
239	0.2653141131
240	0.2653108623
241	0.2652280386
242	0.2651349875
243	0.2650326294
244	0.2650047384
245	0.2649645482
246	0.2648967919
247	0.2648263426
248	0.2647864182
249	0.2647511979
250	0.2646417556
251	0.2644769388
252	0.2644179581
253	0.264385662
254	0.264348698
255	0.2641739289
256	0.2641593612
257	0.264090784
258	0.2640186846
259	0.2638128774
260	0.2637540906
261	0.2637093179
262	0.2636671806
263	0.263556385
264	0.2633843245
265	0.2633130505
266	0.2631975228
267	0.2631293945
268	0.2630766806
269	0.2630096905
270	0.2628910131
271	0.2628526663
272	0.2627980052
273	0.2627008039
274	0.2626205481
275	0.2626183935
276	0.2625752686
277	0.2625288786
278	0.2624706462
279	0.2623968536
280	0.2622591454
281	0.2621909839
282	0.262056446
283	0.2619095815
284	0.2618418292
285	0.2618189877
286	0.2617041797
287	0.2615889897
288	0.2615093566
289	0.2614483846
290	0.2614264229
291	0.2613347248
292	0.2612065803
293	0.2611860728
294	0.2611676073
295	0.261068962
296	0.2610293478
297	0.2609234629
298	0.2608587978
299	0.2607508989
300	0.2607284995
301	0.2605176422
302	0.2604532775
303	0.260355733
304	0.2603097053
305	0.2602224596
306	0.2601746327
307	0.2601519043
308	0.2601499554
309	0.2600965793
310	0.2600273677
311	0.2599597202
312	0.259941875
313	0.2599349473
314	0.2598731359
315	0.2597837132
316	0.2597228544
317	0.2596683089
318	0.2595518932
319	0.2594916143
320	0.2593945913
321	0.2593521144
322	0.2592636694
323	0.2592027282
324	0.2591334226
325	0.2590429614
326	0.2589505
327	0.2588571069
328	0.2587369295
329	0.2586415469
330	0.2586272509
331	0.258578144
332	0.2585028145
333	0.2584080668
334	0.2583185392
335	0.2582151461
336	0.2581875808
337	0.2581135134
338	0.2580289794
339	0.2579886291
340	0.2578739803
341	0.2578045767
342	0.2577239842
343	0.2576676906
344	0.2575734573
345	0.2575535348
346	0.2575005125
347	0.2574831614
348	0.2574503386
349	0.2573721785
350	0.2572326323
351	0.257158427
352	0.2571429639
353	0.2570167073
354	0.2569650733
355	0.2569435427
356	0.2568478101
357	0.2568046555
358	0.2567828805
359	0.256707107
360	0.2566713663
361	0.2565794742
362	0.2564833126
363	0.2564592539
364	0.2563698322
365	0.2562984028
366	0.2562649931
367	0.2561808649
368	0.256067785
369	0.2560149461
370	0.2560002894
371	0.2559055665
372	0.255833946
373	0.255785173
374	0.2557563032
375	0.2556595026
376	0.2556467963
377	0.2556218423
378	0.2555199424
379	0.2554914308
380	0.2554425061
381	0.2554169935
382	0.2553286348
383	0.2552587978
384	0.2552260966
385	0.2552056068
386	0.2551847815
387	0.2551722655
388	0.2550308088
389	0.2550016357
390	0.2549384507
391	0.254857139
392	0.2547945002
393	0.2547418858
394	0.2546754007
395	0.2545853837
396	0.2545067125
397	0.2543842199
398	0.2542975139
399	0.2542146887
400	0.2541489407
401	0.2541119493
402	0.2541071724
403	0.2540554472
404	0.2540246796
405	0.2539569325
406	0.2538835023
407	0.2537891388
408	0.253721153
409	0.2536411726
410	0.2535587444
411	0.253528993
412	0.25343627
413	0.2533566907
414	0.2533260572
415	0.2532672978
416	0.2531763993
417	0.25311789
418	0.2530456092
419	0.253032477
420	0.2529694475
421	0.2528752503
422	0.2528703341
423	0.2526520739
424	0.2525792202
425	0.2524812138
426	0.2524342055
427	0.2524072824
428	0.25238765
429	0.25236242
430	0.2523078796
431	0.2522899226
432	0.2522563476
433	0.2521915275
434	0.2520858427
435	0.2520484018
436	0.2517311225
437	0.2516316162
438	0.2515603087
439	0.2514516814
440	0.2513882346
441	0.2512511286
442	0.2511985957
443	0.2511396483
444	0.2511001456
445	0.2510296009
446	0.2510038842
447	0.2509553017
448	0.2508478317
449	0.2507895157
450	0.2507504011
451	0.2506985815
452	0.25064156
453	0.25058018
454	0.2505557792
455	0.2504932775
456	0.2504337431
457	0.2503571644
458	0.2503317378
459	0.2502696693
460	0.2501758043
461	0.2501035244
462	0.2500284186
463	0.2500023861
464	0.2499457843
465	0.2498528108
466	0.2498087656
467	0.2497554453
468	0.2497376991
469	0.2497191126
470	0.249678761
471	0.249559123
472	0.2495213837
473	0.2494246058
474	0.2493618764
475	0.2493413587
476	0.2492900263
477	0.2492824428
478	0.2492573893
479	0.2491568845
480	0.2491252886
481	0.2490700486
482	0.2490217326
483	0.2489478877
484	0.2489016065
485	0.2488336313
486	0.2487663411
487	0.2486125954
488	0.2485451909
489	0.2485165524
490	0.2484773157
491	0.2484655033
492	0.2484513781
493	0.2484140784
494	0.2482961994
495	0.2482624209
496	0.2481339263
497	0.2480841883
498	0.2480395113
499	0.2479590538
