iter	Passed	Remaining
0	193	96564
1	248	61775
2	306	50857
3	359	44553
4	410	40611
5	461	38027
6	513	36179
7	564	34717
8	619	33790
9	670	32834
10	719	31966
11	771	31363
12	824	30903
13	877	30469
14	931	30125
15	979	29640
16	1033	29370
17	1089	29164
18	1136	28783
19	1186	28464
20	1230	28067
21	1279	27793
22	1327	27538
23	1379	27354
24	1428	27142
25	1475	26902
26	1520	26640
27	1571	26490
28	1624	26386
29	1670	26178
30	1721	26042
31	1773	25934
32	1823	25812
33	1874	25692
34	1923	25554
35	1974	25454
36	2028	25381
37	2076	25245
38	2124	25117
39	2171	24977
40	2222	24876
41	2270	24760
42	2318	24645
43	2366	24522
44	2414	24417
45	2458	24263
46	2504	24138
47	2548	23997
48	2589	23837
49	2642	23782
50	2691	23695
51	2740	23614
52	2791	23542
53	2841	23468
54	2890	23389
55	2939	23304
56	2984	23197
57	3040	23167
58	3090	23100
59	3141	23038
60	3161	22755
61	3206	22651
62	3253	22571
63	3303	22505
64	3353	22445
65	3404	22385
66	3453	22318
67	3498	22226
68	3548	22165
69	3596	22092
70	3649	22048
71	3745	22267
72	3809	22282
73	3842	22119
74	3886	22024
75	3930	21928
76	3974	21834
77	4024	21775
78	4081	21752
79	4126	21663
80	4170	21573
81	4215	21487
82	4256	21383
83	4322	21404
84	4371	21341
85	4431	21333
86	4507	21396
87	4572	21406
88	4622	21345
89	4681	21325
90	4728	21250
91	4782	21208
92	4827	21128
93	4869	21030
94	4911	20938
95	4979	20956
96	5055	21004
97	5135	21065
98	5209	21101
99	5274	21099
100	5320	21018
101	5376	20978
102	5426	20917
103	5475	20847
104	5534	20820
105	5579	20738
106	5633	20692
107	5683	20629
108	5723	20529
109	5767	20448
110	5813	20373
111	5869	20333
112	5916	20261
113	5983	20261
114	6056	20277
115	6125	20276
116	6189	20261
117	6258	20260
118	6305	20187
119	6351	20112
120	6395	20032
121	6462	20024
122	6520	19984
123	6565	19907
124	6611	19834
125	6661	19773
126	6736	19786
127	6798	19757
128	6871	19761
129	6924	19708
130	6981	19664
131	7062	19689
132	7134	19687
133	7191	19643
134	7261	19633
135	7311	19569
136	7360	19503
137	7409	19436
138	7454	19360
139	7502	19292
140	7569	19273
141	7642	19268
142	7681	19175
143	7728	19105
144	7793	19080
145	7858	19054
146	7918	19014
147	7975	18968
148	8046	18954
149	8121	18949
150	8193	18937
151	8242	18871
152	8287	18795
153	8331	18719
154	8394	18684
155	8460	18656
156	8523	18622
157	8569	18549
158	8615	18476
159	8660	18403
160	8707	18334
161	8761	18279
162	8803	18201
163	8847	18125
164	8902	18074
165	8955	18018
166	9000	17946
167	9045	17876
168	9095	17813
169	9147	17757
170	9191	17684
171	9235	17612
172	9280	17542
173	9326	17474
174	9371	17403
175	9417	17336
176	9461	17265
177	9501	17188
178	9548	17122
179	9595	17058
180	9648	17004
181	9692	16936
182	9740	16873
183	9787	16808
184	9833	16743
185	9886	16690
186	9932	16625
187	9984	16570
188	10055	16545
189	10117	16508
190	10169	16452
191	10233	16415
192	10282	16355
193	10340	16310
194	10386	16246
195	10431	16179
196	10473	16108
197	10521	16048
198	10568	15985
199	10614	15922
200	10671	15875
201	10716	15809
202	10766	15751
203	10823	15704
204	10883	15662
205	10932	15603
206	10984	15548
207	11029	15484
208	11076	15422
209	11121	15358
210	11166	15294
211	11212	15231
212	11256	15167
213	11302	15105
214	11351	15047
215	11405	14996
216	11457	14942
217	11521	14903
218	11563	14836
219	11619	14788
220	11681	14747
221	11727	14685
222	11780	14633
223	11851	14603
224	11897	14540
225	11962	14503
226	12025	14462
227	12090	14423
228	12158	14388
229	12203	14325
230	12248	14263
231	12294	14202
232	12364	14168
233	12428	14128
234	12471	14063
235	12538	14026
236	12597	13979
237	12643	13918
238	12689	13857
239	12731	13792
240	12799	13755
241	12868	13719
242	12913	13657
243	12975	13614
244	13046	13579
245	13118	13544
246	13185	13506
247	13234	13447
248	13281	13388
249	13335	13335
250	13376	13270
251	13424	13211
252	13469	13150
253	13515	13090
254	13559	13028
255	13603	12965
256	13661	12917
257	13706	12856
258	13750	12795
259	13799	12737
260	13855	12687
261	13902	12628
262	13948	12569
263	13997	12513
264	14041	12452
265	14101	12404
266	14148	12346
267	14206	12298
268	14277	12260
269	14325	12203
270	14390	12160
271	14435	12100
272	14479	12039
273	14520	11976
274	14567	11918
275	14609	11857
276	14654	11797
277	14699	11738
278	14745	11680
279	14796	11625
280	14861	11582
281	14907	11523
282	14952	11465
283	14999	11408
284	15055	11357
285	15101	11300
286	15150	11243
287	15197	11187
288	15245	11130
289	15297	11077
290	15358	11030
291	15413	10979
292	15477	10934
293	15540	10888
294	15612	10849
295	15678	10805
296	15722	10746
297	15776	10694
298	15840	10648
299	15902	10601
300	15950	10545
301	16005	10493
302	16078	10453
303	16141	10406
304	16207	10362
305	16279	10320
306	16347	10277
307	16416	10233
308	16471	10181
309	16532	10132
310	16606	10091
311	16674	10047
312	16727	9993
313	16781	9940
314	16828	9883
315	16881	9829
316	16957	9789
317	17048	9757
318	17105	9705
319	17171	9658
320	17236	9611
321	17292	9559
322	17343	9504
323	17402	9453
324	17452	9397
325	17525	9354
326	17596	9309
327	17663	9262
328	17715	9207
329	17769	9153
330	17835	9106
331	17896	9056
332	17965	9009
333	18036	8964
334	18089	8909
335	18136	8852
336	18180	8793
337	18230	8737
338	18275	8679
339	18335	8628
340	18384	8572
341	18452	8524
342	18499	8467
343	18548	8411
344	18619	8365
345	18687	8317
346	18761	8272
347	18816	8218
348	18868	8163
349	18912	8105
350	18960	8048
351	19007	7991
352	19056	7935
353	19100	7877
354	19146	7820
355	19219	7774
356	19266	7717
357	19312	7660
358	19375	7609
359	19417	7551
360	19471	7497
361	19517	7440
362	19561	7382
363	19619	7330
364	19685	7281
365	19740	7227
366	19789	7171
367	19837	7115
368	19904	7066
369	19967	7015
370	20029	6964
371	20107	6918
372	20167	6866
373	20222	6812
374	20281	6760
375	20327	6703
376	20371	6646
377	20418	6589
378	20487	6540
379	20533	6484
380	20578	6427
381	20637	6374
382	20691	6320
383	20734	6263
384	20780	6207
385	20842	6155
386	20925	6109
387	20995	6060
388	21061	6009
389	21124	5958
390	21171	5902
391	21249	5854
392	21313	5803
393	21381	5752
394	21428	5696
395	21472	5639
396	21519	5583
397	21584	5531
398	21633	5476
399	21678	5419
400	21734	5365
401	21789	5311
402	21847	5258
403	21898	5203
404	21949	5148
405	22001	5093
406	22054	5039
407	22119	4987
408	22173	4933
409	22249	4884
410	22296	4828
411	22340	4771
412	22385	4715
413	22430	4659
414	22473	4603
415	22520	4547
416	22565	4491
417	22610	4435
418	22654	4379
419	22707	4325
420	22778	4274
421	22838	4221
422	22902	4169
423	22986	4120
424	23071	4071
425	23144	4020
426	23194	3965
427	23240	3909
428	23288	3854
429	23339	3799
430	23414	3748
431	23487	3697
432	23540	3642
433	23585	3586
434	23631	3531
435	23691	3477
436	23737	3422
437	23783	3366
438	23828	3311
439	23874	3255
440	23929	3201
441	24009	3150
442	24089	3099
443	24160	3047
444	24208	2992
445	24253	2936
446	24304	2881
447	24367	2828
448	24442	2776
